id,title,ingredients,steps,time_min,tags
11,Плов з куркою,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",36,"[""гаряча страва"", ""запечене""]"
12,Паста з томатним соусом,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",21,"[""суп"", ""гаряча страва"", ""обід""]"
13,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",15,"[""гаряча страва"", ""запечене""]"
14,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",73,"[""салат"", ""холодна страва""]"
15,Плов з куркою,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",67,"[""гаряча страва"", ""запечене""]"
16,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",34,"[""гаряча страва"", ""запечене""]"
17,Вареники з картоплею,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",59,"[""гаряча страва"", ""борошняне""]"
18,Гречка з грибами,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",45,"[""гаряча страва"", ""борошняне""]"
19,Вареники з картоплею,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",14,"[""гаряча страва"", ""борошняне""]"
20,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",44,"[""суп"", ""українська кухня""]"
21,Вареники з картоплею,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",73,"[""гаряча страва"", ""борошняне""]"
22,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",47,"[""гаряча страва"", ""запечене""]"
23,Курячий суп з локшиною,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",58,"[""суп"", ""гаряча страва"", ""обід""]"
24,Борщ український,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",63,"[""суп"", ""українська кухня""]"
25,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",66,"[""гаряча страва"", ""запечене""]"
26,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",73,"[""суп"", ""українська кухня""]"
27,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",78,"[""гаряча страва"", ""запечене""]"
28,Курячий суп з локшиною,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",61,"[""суп"", ""гаряча страва"", ""обід""]"
29,Курячий суп з локшиною,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",20,"[""суп"", ""гаряча страва"", ""обід""]"
30,Борщ український,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",86,"[""суп"", ""українська кухня""]"
31,Вареники з картоплею,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",76,"[""гаряча страва"", ""борошняне""]"
32,Гречка з грибами,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",18,"[""гаряча страва"", ""борошняне""]"
33,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",37,"[""суп"", ""українська кухня""]"
34,Борщ український,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",27,"[""суп"", ""українська кухня""]"
35,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",37,"[""салат"", ""холодна страва""]"
36,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",15,"[""суп"", ""українська кухня""]"
37,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",81,"[""салат"", ""холодна страва""]"
38,Салат з буряком та фетою,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",54,"[""салат"", ""холодна страва""]"
39,Борщ український,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",52,"[""суп"", ""українська кухня""]"
40,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",48,"[""салат"", ""холодна страва""]"
41,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",55,"[""гаряча страва"", ""запечене""]"
42,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",39,"[""суп"", ""українська кухня""]"
43,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",38,"[""салат"", ""холодна страва""]"
44,Салат з буряком та фетою,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",55,"[""салат"", ""холодна страва""]"
45,Курячий суп з локшиною,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",72,"[""суп"", ""гаряча страва"", ""обід""]"
46,Паста з томатним соусом,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",21,"[""суп"", ""гаряча страва"", ""обід""]"
47,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",87,"[""салат"", ""холодна страва""]"
48,Гречка з грибами,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",12,"[""гаряча страва"", ""борошняне""]"
49,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",17,"[""суп"", ""українська кухня""]"
50,Салат з буряком та фетою,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",59,"[""салат"", ""холодна страва""]"
51,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",36,"[""салат"", ""холодна страва""]"
52,Гречка з грибами,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",20,"[""гаряча страва"", ""борошняне""]"
53,Паста з томатним соусом,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",53,"[""суп"", ""гаряча страва"", ""обід""]"
54,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",28,"[""суп"", ""українська кухня""]"
55,Вареники з картоплею,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",64,"[""гаряча страва"", ""борошняне""]"
56,Гречка з грибами,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",78,"[""гаряча страва"", ""борошняне""]"
57,Борщ український,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",81,"[""суп"", ""українська кухня""]"
58,Курячий суп з локшиною,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",50,"[""суп"", ""гаряча страва"", ""обід""]"
59,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",46,"[""гаряча страва"", ""запечене""]"
60,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",20,"[""гаряча страва"", ""запечене""]"
61,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",52,"[""суп"", ""українська кухня""]"
